Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
490,Cabo (Barragem de Gurjaú),jul./2024,0,0,"4,8","5,4",4,"15,2","17,7","1,9","2,2","28,5",0,"23,3","10,2","3,6","1,5",0,"4,9","2,3","2,7",0,"27,3","1,9","0,7","5,9","1,4","0,5",0,"3,5","0,8","0,6",0,"1813,5"
491,Cabo (Barragem de Suape),jul./2024,"1,8",0,5,"2,4","2,6","30,9","29,6","0,7","5,1","17,4",0,16,"6,3",3,0,"1,3","1,4",1,"5,8",0,"17,1","3,1",0,"3,8","1,2","2,1","0,7","6,7","0,7",0,0,"1764,8"
603,Cabo (Pirapama),jul./2024,0,0,5,"5,5","2,6","12,6","24,1","0,5","6,6",47,"0,2","28,5","13,3","3,8",0,"1,9",3,"1,7","5,8","0,8","18,1","2,2","0,1","6,9","1,5","0,6","1,5","0,3","0,4","0,1","0,2","1927,2"
201,Camaragibe,jul./2024,0,0,"3,6","2,5",0,"17,7","34,1","0,6",3,"6,8","0,5",30,0,"4,3",0,"0,3","0,2","2,1","1,2",1,"6,8","2,5",0,"1,6","2,2",0,0,"3,1",0,2,0,"1620,3"
28,Goiana (Itapirema - IPA),jul./2024,0,"0,4",7,1,"0,2","6,2","8,6","0,8",0,"1,8","3,8","31,2","8,6","3,6","0,2","3,8","2,4",8,"0,2","0,2","5,4","0,8","0,2","0,6","2,8","2,4","0,6","6,2","1,2",3,0,"1275,3"
487,Goiana - PCD,jul./2024,0,"9,4","9,6","1,4",1,"5,8","3,8",0,0,-,-,-,-,-,-,-,-,-,-,"0,8",13,"12,4",0,"3,8",11,"0,6","2,6","7,8","2,6","0,8",0,"221,4"
100,Igarassu,jul./2024,0,0,"3,9","9,6",3,"12,3","11,6","1,7",3,"10,1","0,2",43,4,"3,9",1,0,1,0,0,0,0,"16,1",0,0,6,"3,3","0,3","0,4",0,"0,4",0,1579
269,Igarassu (Bar.Catucá),jul./2024,0,0,"3,3",1,1,13,0,"1,4","0,4","15,8",0,30,8,"1,3","0,9",0,0,-,"0,4",0,6,0,0,"1,7",2,0,0,"1,8",0,"1,4",0,"1254,1"
294,Igarassu (Usina São José),jul./2024,0,0,4,"0,7","1,1",11,19,"2,8","0,7","6,8","0,5","27,5",12,"1,3","0,5",0,"0,1","2,4",0,0,3,9,0,"3,5","1,2",0,0,1,"0,9","0,1",0,"1389,1"
387,Ipojuca,jul./2024,"1,2","0,2",17,"0,9","4,1","19,9","43,7","0,9","4,3","34,7","0,8","21,3","37,1","2,7",0,"1,2","8,7","0,8","0,5","4,5","15,5",1,2,"3,3","0,5","8,6","0,9","5,2",0,"0,7","1,1","1859,6"
602,Ipojuca (Suape) - PCD,jul./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"467,8"
